size 2pattern,count: 154
CorePattern{ childAttr=24, parentAttr=[25]} #SUP: 224 #CONF: 0.33360356708552896
CorePattern{ childAttr=16, parentAttr=[18]} #SUP: 133 #CONF: 0.31344307270233196
CorePattern{ childAttr=25, parentAttr=[1]} #SUP: 174 #CONF: 0.35598536330371144
CorePattern{ childAttr=16, parentAttr=[27]} #SUP: 122 #CONF: 0.30246913580246915
CorePattern{ childAttr=25, parentAttr=[7]} #SUP: 171 #CONF: 0.34866701515943543
CorePattern{ childAttr=25, parentAttr=[12]} #SUP: 173 #CONF: 0.34657605854678514
CorePattern{ childAttr=25, parentAttr=[16]} #SUP: 155 #CONF: 0.24255096706743334
CorePattern{ childAttr=9, parentAttr=[1]} #SUP: 187 #CONF: 0.35822401614530774
CorePattern{ childAttr=25, parentAttr=[22]} #SUP: 160 #CONF: 0.4260324098274961
CorePattern{ childAttr=9, parentAttr=[6]} #SUP: 195 #CONF: 0.42230070635721495
CorePattern{ childAttr=9, parentAttr=[7]} #SUP: 184 #CONF: 0.3410696266397578
CorePattern{ childAttr=1, parentAttr=[3]} #SUP: 205 #CONF: 0.3663053297199639
CorePattern{ childAttr=25, parentAttr=[27]} #SUP: 176 #CONF: 0.35598536330371144
CorePattern{ childAttr=9, parentAttr=[12]} #SUP: 195 #CONF: 0.35721493440968716
CorePattern{ childAttr=1, parentAttr=[7]} #SUP: 207 #CONF: 0.35320686540198737
CorePattern{ childAttr=9, parentAttr=[15]} #SUP: 194 #CONF: 0.3985872855701312
CorePattern{ childAttr=1, parentAttr=[10]} #SUP: 212 #CONF: 0.35365853658536583
CorePattern{ childAttr=9, parentAttr=[18]} #SUP: 184 #CONF: 0.2547931382441978
CorePattern{ childAttr=1, parentAttr=[13]} #SUP: 202 #CONF: 0.37624209575429085
CorePattern{ childAttr=9, parentAttr=[22]} #SUP: 173 #CONF: 0.4419778002018164
CorePattern{ childAttr=1, parentAttr=[16]} #SUP: 171 #CONF: 0.25790424570912374
CorePattern{ childAttr=18, parentAttr=[1]} #SUP: 142 #CONF: 0.3514696685428393
CorePattern{ childAttr=9, parentAttr=[25]} #SUP: 176 #CONF: 0.3213925327951564
CorePattern{ childAttr=1, parentAttr=[19]} #SUP: 202 #CONF: 0.4186991869918699
CorePattern{ childAttr=18, parentAttr=[4]} #SUP: 138 #CONF: 0.41776110068792993
CorePattern{ childAttr=9, parentAttr=[27]} #SUP: 174 #CONF: 0.3022199798183653
CorePattern{ childAttr=1, parentAttr=[22]} #SUP: 189 #CONF: 0.4168925022583559
CorePattern{ childAttr=18, parentAttr=[7]} #SUP: 134 #CONF: 0.32770481550969355
CorePattern{ childAttr=18, parentAttr=[9]} #SUP: 143 #CONF: 0.32770481550969355
CorePattern{ childAttr=10, parentAttr=[1]} #SUP: 199 #CONF: 0.38160377358490566
CorePattern{ childAttr=18, parentAttr=[10]} #SUP: 142 #CONF: 0.36522826766729205
CorePattern{ childAttr=1, parentAttr=[27]} #SUP: 190 #CONF: 0.3012646793134598
CorePattern{ childAttr=10, parentAttr=[4]} #SUP: 194 #CONF: 0.4207547169811321
CorePattern{ childAttr=18, parentAttr=[13]} #SUP: 144 #CONF: 0.3877423389618512
